Address,SourceEUI(kBtu/sf),SecondLargestPropertyUseType,PrimaryPropertyType,State,NaturalGas(therms),Electricity(kBtu),SiteEUIWN(kBtu/sf),ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),TaxParcelIdentificationNumber,Neighborhood,Outlier,BuildingType,DefaultData,City,PropertyGFABuilding(s),SteamUse(kBtu),PropertyName,ListOfAllPropertyUseTypes,YearBuilt,GHGEmissionsIntensity,CouncilDistrictCode,Longitude,LargestPropertyUseTypeGFA,PropertyGFAParking,SiteEUI(kBtu/sf),Latitude,SourceEUIWN(kBtu/sf),ZipCode,PropertyGFATotal,NumberofFloors,YearsENERGYSTARCertified,NaturalGas(kBtu),LargestPropertyUseType,OSEBuildingID,Electricity(kWh),ENERGYSTARScore,DataYear,ComplianceStatus,ThirdLargestPropertyUseType,NumberofBuildings,SecondLargestPropertyUseTypeGFA
1201 AMGEN CT W,403.0,,Other,WA,808676.0,76742000.0,206.0,,166523440.0,7666201725,MAGNOLIA / QUEEN ANNE,,Campus,No,SEATTLE,432520,0.0,AMGEN INC. MASTER CAMPUS,Other,2002,5.57,7,-122.3742647,808520.0,376000,194.9,47.62811223,414.6,98119,808520,4.0,,80867644.0,Other,49859,22490860.0,,2015,Compliant,,7.0,
1421 Alaskan Way,541.7000122000001,,Other,WA,42991.03906,10534370.0,219.5,,15230290.0,7666202420,DOWNTOWN,,Nonresidential COS,False,Seattle,69400,0.0,Seattle Aquarium,Other - Entertainment/Public Assembly,1980,4.35,7,-122.34211,69400.0,0,213.6999969,47.60729,547.7000122000001,98101.0,69400,2.0,,4299104.0,Other - Entertainment/Public Assembly,317,3087447.25,,2016,Compliant,,1.0,
5700 24th Ave NW,560.7999877999999,,Supermarket / Grocery Store,WA,6161.92041,7151865.0,189.0,,7785876.5,2767604965,BALLARD,,NonResidential,False,Seattle,41198,0.0,70500891 -- Ballard,Supermarket/Grocery Store,2010,2.0,6,-122.3873,41198.0,0,188.6000061,47.67034,561.2999877999999,98107.0,41198,8.0,,616192.0,Supermarket/Grocery Store,49946,2096091.625,44.0,2016,Compliant,,1.0,
4100 39th Ave. S.,78.30000305,,K-12 School,WA,2229.87085,1213523.0,29.5,,1523036.0,7950302375,SOUTHEAST,,SPS-District K-12,False,Seattle,51672,0.0,Hawthorne Elementary,K-12 School,1989,0.39,2,-122.28339,51672.0,0,27.79999924,47.565909999999995,82.0,98118.0,51672,3.0,2016,222987.0,K-12 School,24375,355663.3125,97.0,2016,Compliant,,1.0,
1616 Eastlake Ave. E,657.0999756,Laboratory,Mixed Use Property,WA,179475.7188,29154854.0,284.7000122,84000.0,47837524.0,3383900230,LAKE UNION,,NonResidential,False,Seattle,138509,0.0,1616 Eastlake,"Laboratory, Office, Parking",2002,4.59,4,-122.32505,113318.0,113318,280.39999389999997,47.63451,661.7000122000001,98102.0,251827,5.0,,17947572.0,Parking,588,8544799.0,,2016,Compliant,Office,0.0,84000.0
901 Fairview Ave. N.,700.2999877999999,Other,Mixed Use Property,WA,88383.35938,6642344.0,370.89999389999997,15402.0,15960838.0,4088803045,LAKE UNION,,NonResidential,False,Seattle,19237,0.0,Chandler's Cove - SEDO,"Other, Parking, Restaurant",1988,14.89,3,-122.33384,23373.0,15402,359.7000122,47.62774,712.0999756,98109.0,34639,2.0,,8838336.0,Restaurant,25452,1946759.75,,2016,Compliant,Parking,1.0,19659.0
2200 Alaskan Way,199.1000061,Other,Small- and Mid-Sized Office,WA,0.0,4549891.0,63.40000153,,4549892.0,1977200135,DOWNTOWN,,NonResidential,False,Seattle,70000,0.0,World Trade Center West,"Office, Other",1999,0.36,7,-122.34748,70090.0,17500,63.40000153,47.61116,199.1000061,98121.0,87500,4.0,,0.0,Office,426,1333496.75,72.0,2016,Compliant,,1.0,1672.0
915 NW 45th Street,276.0,Supermarket/Grocery Store,Retail Store,WA,42908.43359,14099499.0,107.6999969,0.0,19031574.0,1982202070,BALLARD,,NonResidential,False,Seattle,164437,0.0,70100608-Ballard,"Parking, Retail Store, Supermarket/Grocery Store",1999,1.98,6,-122.36856999999999,102653.0,0,104.0,47.66057,278.0,98107.0,164437,1.0,,4290843.0,Retail Store,467,4132326.75,62.0,2016,Compliant,Parking,1.0,74102.0
1191 2nd Avenue,108.8000031,Parking,Large Office,WA,0.0,18040489.0,35.90000153,6122.0,18754466.0,0942000030,DOWNTOWN,,NonResidential,False,Seattle,438072,180731.7969,2nd and Seneca,"Office, Parking",1991,0.22,7,-122.33673999999999,522667.0,197231,34.90000153,47.60614,111.90000149999999,98101.0,635303,29.0,201620152014201320112010200920072000,0.0,Office,349,5287365.0,95.0,2016,Compliant,Convenience Store without Gas Station,1.0,194435.0
4326 University Way NE,204.8999939,,Retail Store,WA,9628.110352,5499125.0,75.19999695,,6707359.5,1142000075,NORTHEAST,,NonResidential,False,Seattle,89200,0.0,University Book Store,Retail Store,1978,1.0,4,-122.31278,89200.0,0,72.40000153,47.66024,206.8000031,98105.0,89200,2.0,,962811.0,Retail Store,363,1611701.375,83.0,2016,Compliant,,1.0,
1521 1ST AVE S,72.80000305,Parking,Large Office,WA,2223.969971,4359095.0,24.29999924,,4644839.5,7666207075,GREATER DUWAMISH,,NonResidential,False,Seattle,187027,0.0,Home Plate Center Bldg B,"Office, Parking",2014,0.13,2,-122.33475,191333.0,146687,23.89999962,47.58872,73.09999847,98134.0,333714,7.0,,222397.0,Office,49867,1277577.75,,2016,Compliant,,1.0,133432.0
1820 East Lake Ave,236.0,,Small- and Mid-Sized Office,WA,0.0,2563985.0,76.0,,2592728.0,3383900065,LAKE UNION,,NonResidential,False,Seattle,34110,0.0,Bonneville International,Office,1960,0.52,4,-122.32522,34110.0,0,75.19999695,47.635670000000005,238.6999969,98102.0,34110,2.0,,0.0,Office,24274,751461.125,31.0,2016,Compliant,,1.0,
2601 Elliott Avenue,154.1999969,College/University,Large Office,WA,21276.56445,15974366.0,53.29999924,7666.0,18102026.0,0653000250,DOWNTOWN,,NonResidential,False,Seattle,350310,0.0,2601 Elliott Avenue,"College/University, Office, Restaurant",1916,0.64,7,-122.35263,305233.0,0,53.29999924,47.614290000000004,154.1999969,98121.0,350310,6.0,2017,2127656.0,Office,398,4681819.0,90.0,2016,Compliant,Restaurant,1.0,26900.0
222 Yale Ave. N.,260.0,,Retail Store,WA,26297.99805,7307906.0,105.59999850000001,,10443463.0,6849700205,LAKE UNION,,NonResidential,False,Seattle,104014,0.0,011-Seattle,Retail Store,1996,0.72,7,-122.33027,98863.0,159994,100.5,47.62,262.3999939,98109.0,264008,4.0,,2629800.0,Retail Store,562,2141824.75,42.0,2016,Compliant,,1.0,
4550 42nd Ave SW,521.0,,Supermarket / Grocery Store,WA,26180.93359,5407602.0,218.10000609999997,,8257472.5,1333100000,SOUTHWEST,,NonResidential,False,Seattle,37864,0.0,70500883 -- West Seattle,Supermarket/Grocery Store,2008,4.67,1,-122.38524,37864.0,0,212.0,47.561370000000004,523.9000244,98116.0,37864,1.0,,2618093.0,Supermarket/Grocery Store,34891,1584877.375,61.0,2016,Compliant,,1.0,
925 Westlake Ave North,164.5,,Hotel,WA,56412.00391,5530787.0,83.0,,11754087.0,4088803586,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,153315,0.0,311jk-Seattle Downtown/Lake Union CY,Hotel,1998,1.63,7,-122.34045,141591.0,54341,78.90000153,47.62782,171.3999939,98109.0,207656,7.0,,5641200.0,Hotel,235,1620980.875,76.0,2016,Compliant,,1.0,
2445  3RD  AVE  S,176.6000061,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Other,WA,25000.35352,18175883.0,61.70000076,50000.0,20862660.0,7666205235,GREATER DUWAMISH,,SPS-District K-12,False,Seattle,338063,0.0,Stanford Center Building (JSCEE),"Data Center, Non-Refrigerated Warehouse, Other, Refrigerated Warehouse, Repair Services (Vehicle, Shoe, Locksmith, etc), Restaurant",2002,0.77,2,-122.33032,180633.0,0,61.20000076,47.5805,176.8000031,98124.0,338063,3.0,,2500035.0,Other,854,5327046.5,,2016,Compliant,Restaurant,1.0,50000.0
411 1ST AVE S,28.0,,Large Office,WA,3430.500488,1608768.0,58.79999924,,11348758.0,5247800200,DOWNTOWN,Low outlier,NonResidential,False,Seattle,154159,0.0,411 1ST AVE  S (ID608),Office,1913,0.19,2,-122.33458,193154.0,0,58.0,47.59878,28.70000076,98104.0,154159,7.0,,343050.0,Office,608,471503.0,100.0,2016,Non-Compliant,,5.0,
2633 EASTLAKE AVE E #307,79.30000305,Parking,Small- and Mid-Sized Office,WA,197.2900085,735889.0,27.39999962,,804510.375,1959700075,LAKE UNION,,NonResidential,False,Seattle,25558,0.0,Eastlake Professional Center,"Office, Parking",1961,0.21,4,-122.32627,29392.0,3834,25.70000076,47.64428,84.5,98102.0,29392,3.0,,19729.0,Office,20818,215676.7969,91.0,2016,Compliant,,1.0,3834.0
2401 Utah Ave South,146.1000061,Retail Store,Large Office,WA,63700.19922,67760546.0,50.09999847,220303.0,75252304.0,7666207220,GREATER DUWAMISH,,NonResidential,False,Seattle,1380959,0.0,Starbucks Center,"Non-Refrigerated Warehouse, Office, Retail Store",1912,0.59,2,-122.33533999999999,1000730.0,0,49.29999924,47.58181,147.1999969,98134.0,1380959,6.0,,6370020.0,Office,640,19859480.0,79.0,2016,Compliant,Non-Refrigerated Warehouse,0.0,281296.0
1051 1ST AVE SO,54.29999924,,Other,WA,8766.160156,717806.0,31.60000038,,1849863.625,7666206955,GREATER DUWAMISH,,NonResidential,False,Seattle,58492,0.0,DOT 17G_01 1051 BUILDING,Other,1939,0.88,2,-122.33455,58500.0,0,27.29999924,47.592729999999996,58.79999924,98104.0,58492,2.0,,876616.0,Other,782,210377.0,,2016,Compliant,,1.0,
8111 1ST AVE S,195.6999969,Office,Other,WA,21920.08984,902081.0,126.40000149999999,,3315521.5,3124049151,DELRIDGE,,NonResidential,False,Seattle,26232,0.0,(ID23120) WASTE MANAGEMENT,"Office, Other - Services",1971,4.68,1,-122.33592,18262.0,0,118.0,47.52956,205.3000031,98108.0,26232,1.0,,2192009.0,Other - Services,23120,264384.8125,,2016,Compliant,,1.0,7970.0
6215 33rd Ave. NE,54.5,,Worship Facility,WA,2438.02002,361384.0,26.89999962,,685885.625,1868903240,NORTHEAST,,NonResidential,False,Seattle,25521,0.0,Assumption Church,Worship Facility,1930,0.61,4,-122.29283999999998,25521.0,0,23.70000076,47.67485,58.90000153,98115.0,25521,2.0,,243802.0,Worship Facility,20888,105915.7031,82.0,2016,Compliant,,1.0,
2800 SW BARTON ST,181.6000061,Parking,Retail Store,WA,23325.99609,4972873.0,77.69999695,,7728856.5,3624039166,DELRIDGE,,NonResidential,False,Seattle,102500,0.0,WEST SEATTLE (0637),"Parking, Retail Store",1992,1.55,1,-122.36891999999999,99471.0,0,73.40000153,47.522220000000004,185.5,98126.0,102500,1.0,2011,2332600.0,Retail Store,800,1457465.75,81.0,2016,Compliant,,1.0,0.0
516 1st Ave W,291.39999389999997,Supermarket/Grocery Store,Mixed Use Property,WA,4183.540039,10139555.0,98.09999847,29839.0,10864032.0,8681450000,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,110785,0.0,TriBeCa,"Financial Office, Multifamily Housing, Parking, Retail Store, Supermarket/Grocery Store",2002,0.84,7,-122.35756,58563.0,0,95.30000305,47.6239,299.0,98119.0,110785,4.0,,418354.0,Multifamily Housing,264,2971733.5,,2016,Compliant,Parking,1.0,48520.0
7739 1st Avenue S,137.3999939,Office,Other,WA,8923.269531,719779.0,77.5,,1803514.875,3024049018,DELRIDGE,,NonResidential,False,Seattle,23260,0.0,Laidlaw,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)",1963,2.25,1,-122.33733000000001,13075.0,0,69.30000305,47.53366,146.1000061,98108.0,23260,1.0,,892327.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",23049,210955.0938,,2016,Compliant,,1.0,10185.0
1205 E PIKE ST,118.3,,Small- and Mid-Sized Office,WA,0.0,800029.0,43.7,,928118.0,6003000065,EAST,,NonResidential,Yes,SEATTLE,21228,0.0,EAST PIKE BUILDING,Office,1920,0.1,3,-122.316421,21228.0,0,37.7,47.613922,137.3,98122,21228,2.0,,0.0,Office,27829,234465.0,64.0,2015,Compliant,,1.0,
2224 8th Ave,132.1000061,,Hotel,WA,21340.43945,1859869.0,66.69999695,,4077797.0,0660000435,DOWNTOWN,,NonResidential,False,Seattle,48220,0.0,La Quinta Inn & Suites,Hotel,1960,2.06,7,-122.33973999999999,61180.0,12960,65.30000305,47.617979999999996,136.3999939,98121.0,61180,7.0,,2134044.0,Hotel,20082,545096.375,24.0,2016,Compliant,,1.0,
2607 2nd Avenue,122.5,,Small- and Mid-Sized Office,WA,0.0,802312.0,40.40000153,,830100.0,0654000120,DOWNTOWN,,NonResidential,False,Seattle,20565,0.0,"2607 Building, LLC",Office,1925,0.27,7,-122.34965,20565.0,0,39.0,47.61588,126.6999969,98121.0,20565,3.0,,0.0,Office,19755,235144.2969,65.0,2016,Compliant,,1.0,
7951 Second Avenue South,176.6999969,,Warehouse,WA,5749.330078,1611215.0,73.0,,2340055.75,3224049007,GREATER DUWAMISH,,NonResidential,False,Seattle,32000,0.0,Kenyon Industrial Park Building D,Non-Refrigerated Warehouse,1966,1.31,1,-122.333,32040.0,0,68.19999695,47.5316,181.8000031,98108.0,32000,1.0,,574933.0,Non-Refrigerated Warehouse,24531,472220.1875,3.0,2016,Compliant,,1.0,
1100 Eastlake Ave,388.89999389999997,Office,Mixed Use Property,WA,36354.21484,17407502.0,141.6000061,54106.0,21299472.0,2163901105,LAKE UNION,,NonResidential,False,Seattle,183574,0.0,1100 Eastlake,"Data Center, Office, Other, Parking",2008,1.09,3,-122.32876999999999,97500.0,103650,139.8999939,47.6289,390.7000122,98109.0,287224,5.0,,3635421.0,Parking,742,5101847.0,,2016,Compliant,Other,1.0,88051.0
640 S. Spokane,689.0999756,,Other,WA,0.0,6129779.0,219.39999390000003,,6129780.0,7666203827,GREATER DUWAMISH,,NonResidential,False,Seattle,27933,0.0,640 S Spokane,Other,1960,1.53,2,-122.32421000000001,27933.0,0,219.39999390000003,47.57217,689.0999756,98134.0,27933,1.0,,0.0,Other,24205,1796535.5,,2016,Compliant,,1.0,
4500 4th Avenue South,148.5,,Warehouse,WA,22590.46875,804992.0,101.4000015,,3344952.0,3958900645,GREATER DUWAMISH,,NonResidential,False,Seattle,31569,0.0,Pedersens Rentals,Non-Refrigerated Warehouse,1962,3.98,2,-122.32888999999999,33000.0,0,92.80000305,47.563179999999996,157.3999939,98134.0,31569,1.0,,2259047.0,Non-Refrigerated Warehouse,25276,235929.7969,12.0,2016,Compliant,,1.0,
5950 6th Avenue S.,142.3999939,,Small- and Mid-Sized Office,WA,0.0,1088556.0,47.90000153,,1148448.75,2024049068,GREATER DUWAMISH,,NonResidential,False,Seattle,24000,0.0,5950 6th Avenue S. Building,Office,1967,0.32,2,-122.3261,24000.0,0,45.40000153,47.54974,150.3000031,98108.0,24000,2.0,,0.0,Office,21793,319037.5,73.0,2016,Compliant,,1.0,
3837 13th Avenue West,99.30000305,,Small- and Mid-Sized Office,WA,0.0,657386.0,33.09999847,,688824.0,2770604870,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,20022,0.0,Nickerson Business Center,Office,1961,0.23,7,-122.37402,20784.0,0,31.60000038,47.65504,104.0999985,98119.0,20022,2.0,,0.0,Office,22574,192668.7031,80.0,2016,Compliant,,1.0,
516 1st Ave W,781.2999877999999,Parking,Supermarket / Grocery Store,WA,7021.100098000001,8224625.0,267.2999878,,9086338.0,8681450000,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,33997,0.0,Safeway 1885 - 1st Ave,"Parking, Supermarket/Grocery Store",2003,2.78,7,-122.35756,33997.0,0,262.6000061,47.6239,796.0999756,98119.0,33997,4.0,,702110.0,Supermarket/Grocery Store,49687,2410499.75,23.0,2016,Compliant,,1.0,30000.0
1220 HOWELL ST,150.8999939,Office,Mixed Use Property,WA,939.5400391000001,9671822.0,49.20000076,37782.0,9944328.0,0660002381,DOWNTOWN,,NonResidential,False,Seattle,185760,0.0,METROPOLITAN PARK NORTH (ID371),"Fitness Center/Health Club/Gym, Office, Parking",2000,0.19,7,-122.3306,182820.0,195621,48.40000153,47.6177,153.5,98101.0,381381,11.0,,93954.0,Parking,371,2834648.75,94.0,2016,Compliant,Fitness Center/Health Club/Gym,1.0,164192.0
410 2nd Avenue Extenstion South,177.1000061,Other - Entertainment/Public Assembly,Mixed Use Property,WA,8019.099609000001,982475.0,85.90000153,,1904848.25,1562700010,EAST,,NonResidential,False,Seattle,22168,0.0,Chief Seattle Club/Monterey Lofts,"Multifamily Housing, Other - Entertainment/Public Assembly",1900,2.23,3,-122.3315077,11084.0,0,80.5,47.59901628,182.8999939,98104.0,22168,3.0,,801910.0,Multifamily Housing,29170,287947.0,,2016,Compliant,,1.0,11084.0
2801 Thistle St,377.2999878,Fitness Center/Health Club/Gym,Other,WA,50009.96875,3053337.0,217.5,715.0,8556389.0,3624039172,DELRIDGE,,Nonresidential COS,False,Seattle,27227,0.0,Southwest Teen Life Center and Pool,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Other - Technology/Science, Pre-school/Daycare, Swimming Pool",1975,10.54,1,-122.36918,29064.0,0,204.8000031,47.528009999999995,390.7000122,98106.0,27227,2.0,,5000997.0,Other - Recreation,24646,894881.8125,,2016,Compliant,Pre-school/Daycare,0.0,8508.0
1275 Mercer St,203.5,Parking,Mixed Use Property,WA,9913.839844,1612547.0,91.90000153,10000.0,2758081.75,2925049094,LAKE UNION,,NonResidential,False,Seattle,50000,0.0,Bright Horizons,"Office, Other, Parking",1928,0.98,7,-122.33084,20000.0,15000,86.80000305,47.62405,208.8999939,98109.0,65000,1.0,,991384.0,Office,572,472610.5,,2016,Compliant,Other,1.0,15000.0
4416 S Brandon St,304.89999389999997,Parking,Senior Care Community,WA,40741.80078,2708255.0,168.1000061,,7048919.0,1704900435,SOUTHEAST,,NonResidential,False,Seattle,41649,0.0,Kin On Health Care Center,"Parking, Senior Care Community",1966,4.81,2,-122.27875,41922.0,7233,161.8000031,47.55387,311.60000610000003,98118.0,48882,2.0,,4074180.0,Senior Care Community,20970,793744.125,51.0,2016,Compliant,,1.0,9079.0
300 Elliott Avenue West,225.0,Parking,Large Office,WA,0.0,16373229.0,71.69999695,,16373232.0,1992200170,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,237282,0.0,Elliott Bay Office Park,"Office, Parking",1981,0.41,7,-122.36158,228504.0,38452,71.69999695,47.62177,225.0,98119.0,275734,5.0,,0.0,Office,443,4798719.0,77.0,2016,Compliant,,1.0,47404.0
3419 11th Ave. S.W.,41.0,Office,Warehouse,WA,82.08998871,260808.0,14.0,,283275.0,7666702210,GREATER DUWAMISH,,NonResidential,False,Seattle,20200,0.0,23277 HSC HarbIsl,"Non-Refrigerated Warehouse, Office",1900,0.11,1,-122.35066,18700.0,0,13.30000019,47.572790000000005,43.20000076,98134.0,20200,1.0,,8209.0,Non-Refrigerated Warehouse,23277,76438.39844,,2016,Compliant,,1.0,1500.0
110 6th Ave N,128.1999969,Parking,Mixed Use Property,WA,33905.78906,5764988.0,56.29999924,58152.0,9512996.0,1991200695,LAKE UNION,,NonResidential,False,Seattle,274442,0.0,Hyatt Place,"Hotel, Multifamily Housing, Parking, Retail Store",2008,0.8,7,-122.34473,108763.0,0,54.20000076,47.61893,132.6000061,98109.0,274442,4.0,,3390579.0,Hotel,21533,1689621.25,,2016,Compliant,Multifamily Housing,1.0,105499.0
1915 Terry Ave,183.8999939,,Large Office,WA,7044.939453,15836054.0,60.40000153,,16572684.0,0660001255,DOWNTOWN,,NonResidential,False,Seattle,274362,0.0,Children's Hospital Research Building #2,Office,1953,0.54,7,-122.33391,274362.0,0,60.29999924,47.616279999999996,184.1000061,98101.0,274362,7.0,2016,704494.0,Office,750,4641282.0,82.0,2016,Compliant,,1.0,
13052 Greenwood Ave. N.,59.09999847,,K-12 School,WA,21190.9668,1775488.0,32.5,,4290831.5,1926049025,NORTHWEST,,SPS-District K-12,True,Seattle,131013,0.0,Broadview-Thomson K-8,K-12 School,1963,0.95,5,-122.35315,131909.0,0,29.5,47.72463,62.90000153,98133.0,131013,2.0,,2119097.0,K-12 School,137,520365.6875,88.0,2016,Error - Correct Default Data,,1.0,
105 14TH AVENUE,132.8000031,,Small- and Mid-Sized Office,WA,4860.44043,1464669.0,53.70000076,,2064345.875,0007600192,CENTRAL,,NonResidential,False,Seattle,38460,0.0,RLIBuilding,Office,1910,0.94,3,-122.31438,38460.0,0,50.70000076,47.60191,136.0,98122.0,38460,3.0,,486044.0,Office,19501,429269.9063,69.0,2016,Compliant,,1.0,
1111 E. Madison,28.79999924,,Self-Storage Facility,WA,8989.550781,482635.0,18.89999962,,1617801.25,3225049002,EAST,,NonResidential,False,Seattle,84870,0.0,Madison Self Storage,Self-Storage Facility,1910,0.6,3,-122.3171,85521.0,0,16.20000076,47.61233,31.70000076,98122.0,84870,5.0,,898955.0,Self-Storage Facility,209,141452.2031,,2016,Compliant,,1.0,
4205 9th Ave NW,191.8000031,Office,Warehouse,WA,9246.209961,3064777.0,76.80000305,,4243867.0,0467000050,BALLARD,,NonResidential,False,Seattle,52500,0.0,Ferguson Terminal,"Non-Refrigerated Warehouse, Office",1973,1.34,6,-122.3683,49395.0,0,72.19999695,47.65825,196.6000061,98107.0,52500,1.0,,924621.0,Non-Refrigerated Warehouse,395,898234.875,2.0,2016,Compliant,,1.0,5853.0
1001 Fairview Ave N,318.2000122,Office,Restaurant,WA,15465.140630000002,2170550.0,140.1999969,,3717064.0,4088803010,LAKE UNION,,NonResidential,False,Seattle,26519,0.0,Yale Street Landing  and Ocean Alexander,"Office, Restaurant",1978,3.67,3,-122.33173000000001,13592.0,0,140.1999969,47.629020000000004,318.2000122,98109.0,26519,2.0,,1546514.0,Restaurant,25451,636151.6875,,2016,Compliant,,1.0,12927.0
3670 E MARGINAL WAY S,323.89999389999997,,Supermarket / Grocery Store,WA,0.0,6522551.0,103.1999969,,6522551.5,1824049003,GREATER DUWAMISH,,NonResidential,False,Seattle,63225,0.0,RESTAURANT DEPOT SEATTLE (ID503),Supermarket/Grocery Store,2008,0.72,2,-122.33775,63225.0,0,103.1999969,47.56895,323.89999389999997,98134.0,63225,1.0,,0.0,Supermarket/Grocery Store,503,1911650.25,100.0,2016,Compliant,,1.0,
3131 Elliott Avenue,206.8000031,Parking,Large Office,WA,0.0,12729856.0,65.90000153,14653.0,12729858.0,7666202240,DOWNTOWN,,NonResidential,False,Seattle,197203,0.0,3131 Elliott Avenue,"Office, Other, Parking",1986,0.32,7,-122.35833000000001,178625.0,80283,65.90000153,47.61813,206.8000031,98121.0,277486,7.0,,0.0,Office,708,3730907.5,63.0,2016,Compliant,Other,1.0,87624.0
4300 Roosevelt Way NE,151.8000031,Parking,Large Office,WA,0.0,7046345.0,48.29999924,,7046345.5,1142000550,NORTHEAST,,NonResidential,False,Seattle,137929,0.0,4300 Roosevelt,"Office, Parking",2002,0.22,4,-122.31741000000001,145754.0,82720,48.29999924,47.65999,151.8000031,98105.0,220649,5.0,201720162015201420132008,0.0,Office,368,2065165.5,93.0,2016,Compliant,,1.0,90000.0
425 queen anne ave N.,182.1999969,Parking,Hotel,WA,25185.58008,2637011.0,87.90000153,,5274523.0,1989201125,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,59976,0.0,MEDITERRANEAN INN (ID#116),"Hotel, Parking",2002,1.57,7,-122.35708000000001,59976.0,36934,86.0,47.62291,188.3999939,98109.0,96910,6.0,,2518558.0,Hotel,116,772863.625,56.0,2016,Compliant,,1.0,36934.0
2233 1st AVE.South,22.0,Parking,Small- and Mid-Sized Office,WA,868.1939087000001,117680.0,11.10000038,,233531.9063,7666207190,GREATER DUWAMISH,Low outlier,NonResidential,False,Seattle,20970,0.0,2233 Building,"Office, Parking",1910,0.26,2,-122.33468,20970.0,0,9.800000191,47.58292,23.39999962,98104.0,20970,2.0,,86819.0,Office,24825,34489.89844,100.0,2016,Non-Compliant,,1.0,0.0
226 Aurora Ave N,144.5,Parking,Hotel,WA,26391.38086,3188457.0,67.09999847,,5941927.0,1991200940,LAKE UNION,,NonResidential,False,Seattle,88100,0.0,Sequim Lodging Corp,Hotel,1997,1.4,7,-122.34313999999999,88490.0,28200,65.90000153,47.62025,147.1000061,98109.0,116300,6.0,,2639138.0,Hotel,69,934483.3125,80.0,2016,Compliant,,1.0,28300.0
130 South Kenyon St.,124.0,,Other,WA,0.0,5475366.0,40.20000076,,5574345.0,2924049006,GREATER DUWAMISH,,Nonresidential COS,False,Seattle,137138,0.0,South Transfer Station,Other - Utility,2012,0.28,1,-122.33304,138602.0,0,39.5,47.53246,126.3000031,98108.0,137138,2.0,,0.0,Other - Utility,49718,1604738.125,,2016,Compliant,,2.0,
500 W. Emerson,70.19999695,,Residence Hall,WA,21322.83984,2316298.0,35.40000153,,4800620.5,7443000375,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,102100,0.0,Emerson Hall,Residence Hall/Dormitory,2001,0.93,7,-122.36331000000001,135520.0,37500,32.79999924,47.65068,74.69999695,98119.0,139600,4.0,,2132284.0,Residence Hall/Dormitory,183,678868.1875,89.0,2016,Compliant,,1.0,
3400 Stone Way N,110.59999850000001,Parking,Large Office,WA,8878.283203,3601473.0,40.79999924,8324.0,4515744.5,1825049072,LAKE UNION,,NonResidential,False,Seattle,126842,0.0,Stone 34,"Office, Other, Parking, Restaurant",2013,0.35,4,-122.34253999999999,101941.0,79284,32.0,47.64868,108.40000149999999,98103.0,206126,5.0,20162015,887828.0,Office,20868,1055531.25,98.0,2016,Compliant,Other,1.0,73177.0
401 Northgate Way,118.90000149999999,Restaurant,Retail Store,WA,114925.0313,16224529.0,54.29999924,,28763498.0,2926049025,NORTH,,NonResidential,False,Seattle,530039,0.0,Northgate Mall,"Restaurant, Retail Store",1951,1.36,5,-122.3255,505103.0,0,52.29999924,47.70759,121.0,98125.0,530039,1.0,,11492503.0,Retail Store,194,4755137.5,98.0,2016,Compliant,,1.0,24936.0
8815 Seward Park Ave S.,84.19999695,,K-12 School,WA,58004.30078,2999862.0,54.70000076,,10067991.0,3524049149,SOUTHEAST,,SPS-District K-12,True,Seattle,184125,0.0,Rainier Beach High,K-12 School,1960,1.79,2,-122.26586,184125.0,0,47.79999924,47.52407,92.30000305,98118.0,184125,2.0,,5800430.0,K-12 School,216,879209.3125,86.0,2016,Error - Correct Default Data,,1.0,
11301 3rd Ave NE,225.89999390000003,Parking,Senior Care Community,WA,11947.25977,2741695.0,94.90000153,,4141925.0,2926049051,North,,NonResidential,False,Seattle,43661,0.0,Foundation House at Northgate,"Parking, Senior Care Community",1998,1.89,5,-122.32673999999999,43661.0,0,90.19999695,47.71069,238.8000031,98125.0,43661,5.0,,1194726.0,Senior Care Community,22955,803544.875,4.0,2016,Compliant,,1.0,0.0
155 NE 100th Street,224.6999969,Parking,Small- and Mid-Sized Office,WA,0.0,5134607.0,77.09999847,,5531460.0,2434900010,NORTH,,NonResidential,False,Seattle,74880,0.0,Northgate Exec Center B,"Office, Parking",1974,0.48,5,-122.32659,71751.0,0,71.59999847,47.70105,242.10000609999997,98125.0,74880,5.0,,0.0,Office,458,1504867.25,56.0,2016,Compliant,,1.0,0.0
